|win_dummy|delta_net_rating_m|delta_seed_int
1916|1|-6.245560371713243|0.0
1917|0|5.312053668913002|0.0
1918|0|2.869640382499366|0.0
1919|0|6.546831565524893|0.0
1920|1|25.330177552204624|-13.0
1921|1|-0.5456094741581765|-7.0
1922|1|1.7852515923208383|-5.0
1923|1|4.294894721027403|-1.0
1924|0|-2.112576327195276|9.0
1925|0|-0.5533870039899877|-11.0
1926|0|-34.29186721855564|15.0
1927|0|1.240635902748486|1.0
1928|0|-4.925389252566273|9.0
1929|0|-13.444600103701301|11.0
1930|1|9.259318575222807|3.0
1931|0|11.498580611543304|-11.0
1932|0|11.020748393629004|-5.0
1933|0|-2.3833276996815123|7.0
1934|0|-22.12122122889444|15.0
1935|0|-1.254486143011471|5.0
1936|1|5.023966364063209|5.0
1937|1|20.7263734073709|-15.0
1938|1|21.475915955886013|-13.0
1939|0|3.792679868383132|3.0
1940|1|-4.151831672857615|-13.0
1941|1|7.240547487356921|-9.0
1942|1|-3.4864697559854605|-9.0
1943|0|-6.07802219865515|3.0
1944|1|13.759988724572988|-7.0
1945|0|-3.928205720093091|11.0
1946|0|0.5436514135155255|1.0
1947|1|7.273115470719219|-1.0
1948|0|-19.163445010687088|13.0
1949|0|-0.1258208674033341|7.0
1950|0|-12.299413829917516|3.0
1951|0|-17.51677957792815|15.0
1952|1|7.392654982477467|-8.0
1953|0|-20.3203200968741|7.0
1954|1|-17.404281620550474|7.0
1955|0|-2.180226470761596|1.0
1956|0|-6.287115890930419|3.0
1957|0|-2.589582651316134|3.0
1958|0|-13.08704492920358|-1.0
1959|0|4.77252798475797|8.0
1960|1|10.24674677284626|-7.0
1961|1|15.732277158411776|-5.0
1962|1|-6.960700288115941|-1.0
1963|1|-11.904832482797172|5.0
1964|0|-1.264931770273309|8.0
1965|0|0.29084918313599495|-1.0
1966|0|-11.74864085976781|-5.0
1967|0|-20.672718920775257|7.0
1968|1|16.569260680756557|-4.0
1969|1|22.353161609572403|-4.0
1970|1|-1.7558050969712369|-4.0
1971|0|-13.626794675076539|3.0
1972|1|1.1822300300117092|-4.0
1973|1|22.226751682212498|-9.0
1974|1|6.3863591917427796|-4.0
1975|1|0.10098282541578563|4.0
1976|1|12.807496066892963|-2.0
1977|0|-0.26466999996132046|1.0
1978|1|-3.925164992746275|-1.0
1979|0|0.28348217044946367|-3.0
1980|1|10.0935426789748|-6.0
1981|0|5.864097281197175|0.0
1982|1|-3.0075391037180594|0.0
1983|0|-6.977867028858105|0.0
1984|0|-8.296713680563911|0.0
1985|1|-10.021376841631655|0.0
1986|1|2.7529764984355074|0.0
1987|1|-3.545153842785398|7.0
1988|1|8.736316974877553|1.0
1989|0|-8.034835079884793|-1.0
1990|1|4.397965802624375|-9.0
1991|1|9.1407743565003|5.0
1992|0|-8.265246443018079|7.0
1993|0|-0.7777095394410338|9.0
1994|0|-21.94280592173649|15.0
1995|1|2.448562956455138|-9.0
1996|0|-12.445521321538191|11.0
1997|0|-11.935580363746725|15.0
1998|1|-0.6825021421783042|1.0
1999|0|-4.580740881140972|11.0
2000|0|-17.19488142035759|15.0
2001|0|-3.845308759652273|-5.0
2002|0|-6.755534674093381|-7.0
2003|0|-3.475679047657522|-9.0
2004|1|11.147768008400949|-3.0
2005|1|2.182082216149473|-7.0
2006|0|17.60444726788117|-13.0
2007|1|2.6292739239781246|5.0
2008|0|1.287357500470419|5.0
2009|0|-1.7637726725010623|13.0
2010|0|-20.284221587518676|15.0
2011|1|5.508812243783826|11.0
2012|0|3.6558967757547265|1.0
2013|0|3.393662755361607|-3.0
2014|1|10.234207871913615|-11.0
2015|0|-11.860799933615041|-3.0
2016|0|-10.462830518949211|13.0
2017|0|1.678772923314245|3.0
2018|0|-6.10962155148175|13.0
2019|1|-3.269190642500826|-8.0
2020|1|8.555749789411989|8.0
2021|1|1.2362071986634433|1.0
2022|0|5.209412105774069|8.0
2023|0|-3.753795096678397|8.0
2024|1|-7.436156598181107|-8.0
2025|1|9.570983341837618|-8.0
2026|0|-5.13840408878516|8.0
2027|0|2.5767492338655185|8.0
2028|1|-13.436250685242507|-8.0
2029|1|0.19455632927575195|-8.0
